"","mirna.names"
"1714","hsa.miR.4326."
"1715","hsa.miR.433"
"1716","hsa.miR.433."
"1717","hsa.miR.448"
"1718","hsa.miR.448."
"1719","hsa.miR.449a"
"1720","hsa.miR.449a."
"1721","hsa.miR.449b"
"1722","hsa.miR.449b."
"1723","hsa.miR.449c.3p"
"1724","hsa.miR.449c.5p"
"1725","hsa.miR.450a.1."
"1726","hsa.miR.450a.2."
"1727","hsa.miR.450a.2..1"
"1728","hsa.miR.450b"
"1729","hsa.miR.450b."
"1730","hsa.miR.451.DICER1"
"1731","hsa.miR.452"
"1732","hsa.miR.452."
"1733","hsa.miR.454"
"1734","hsa.miR.454."
"1735","hsa.miR.455.3p"
"1736","hsa.miR.455.5p"
"1737","hsa.miR.466"
"1738","hsa.miR.466."
"1739","hsa.miR.483.3p"
"1740","hsa.miR.483.5p"
"1741","hsa.miR.484.RNASEN"
"1742","hsa.miR.484..RNASEN"
"1743","hsa.miR.485.3p"
"1744","hsa.miR.485.5p"
"1745","hsa.miR.486"
"1746","hsa.miR.486."
"1747","hsa.miR.487a.3p"
"1748","hsa.miR.487a.5p"
"1749","hsa.miR.487b"
"1750","hsa.miR.487b."
"1751","hsa.miR.488"
"1752","hsa.miR.488."
"1753","hsa.miR.489"
"1754","hsa.miR.489."
"1755","hsa.miR.490.3p"
"1756","hsa.miR.490.5p"
"1757","hsa.miR.491"
"1758","hsa.miR.491."
"1759","hsa.miR.493"
"1760","hsa.miR.493."
"1761","hsa.miR.494"
"1762","hsa.miR.494."
"1763","hsa.miR.495"
"1764","hsa.miR.495."
"1765","hsa.miR.496"
"1766","hsa.miR.496."
"1767","hsa.miR.497"
"1768","hsa.miR.497."
"1769","hsa.miR.498.3p"
"1770","hsa.miR.498.5p"
"1771","hsa.miR.499"
"1772","hsa.miR.499."
"1773","hsa.miR.500a"
"1774","hsa.miR.500a..2."
"1775","hsa.miR.500b."
"1776","hsa.miR.501.3p"
"1777","hsa.miR.501.5p"
"1778","hsa.miR.502"
"1779","hsa.miR.502."
"1780","hsa.miR.503"
"1781","hsa.miR.503."
"1782","hsa.miR.504"
"1783","hsa.miR.504."
"1784","hsa.miR.505"
"1785","hsa.miR.505."
"1786","hsa.miR.506"
"1787","hsa.miR.506."
"1788","hsa.miR.508"
"1789","hsa.miR.508."
"1790","hsa.miR.509.3.5p"
"1791","hsa.miR.509.3p.3."
"1792","hsa.miR.509.5p.2."
"1793","hsa.miR.510.3p"
"1794","hsa.miR.510.5p"
"1795","hsa.miR.511.3p.2."
"1796","hsa.miR.511.5p.2."
"1797","hsa.miR.512.3p.2."
"1798","hsa.miR.512.5p.2."
"1799","hsa.miR.513a.3p.2."
"1800","hsa.miR.513a.5p.2."
"1801","hsa.miR.513b"
"1802","hsa.miR.513b."
"1803","hsa.miR.513c.3p"
"1804","hsa.miR.513c.5p"
"1805","hsa.miR.514a.3."
"1806","hsa.miR.514a..3."
"1807","hsa.miR.514b.3p"
"1808","hsa.miR.514b.5p"
"1809","hsa.miR.515.3p.2."
"1810","hsa.miR.515.5p.2."
"1811","hsa.miR.516a.2."
"1812","hsa.miR.516a..2."
"1813","hsa.miR.516b.1"
"1814","hsa.miR.516b.2"
"1815","hsa.miR.516b..2."
"1816","hsa.miR.517a.2."
"1817","hsa.miR.517a..2."
"1818","hsa.miR.517b"
"1819","hsa.miR.517b."
"1820","hsa.miR.518a.3p.2."
"1821","hsa.miR.518a.5p.2."
"1822","hsa.miR.518b"
"1823","hsa.miR.518b."
"1824","hsa.miR.518c"
"1825","hsa.miR.518c."
"1826","hsa.miR.518d"
"1827","hsa.miR.518d."
"1828","hsa.miR.518e.3p"
"1829","hsa.miR.518e.5p"
"1830","hsa.miR.518f"
"1831","hsa.miR.518f."
"1832","hsa.miR.519a.1."
"1833","hsa.miR.519a.2."
"1834","hsa.miR.519a.2..1"
"1835","hsa.miR.519b"
"1836","hsa.miR.519b."
"1837","hsa.miR.519c"
"1838","hsa.miR.519c."
"1839","hsa.miR.519d"
"1840","hsa.miR.519d."
"1841","hsa.miR.519e.3p"
"1842","hsa.miR.519e.5p"
"1843","hsa.miR.520a"
"1844","hsa.miR.520a."
"1845","hsa.miR.520b.3p"
"1846","hsa.miR.520b.5p"
"1847","hsa.miR.520c"
"1848","hsa.miR.520c."
"1849","hsa.miR.520d.3p"
"1850","hsa.miR.520d.5p"
"1851","hsa.miR.520e"
"1852","hsa.miR.520e."
"1853","hsa.miR.520f"
"1854","hsa.miR.520f."
"1855","hsa.miR.520g"
"1856","hsa.miR.520g."
"1857","hsa.miR.520h"
"1858","hsa.miR.520h."
"1859","hsa.miR.521.1."
"1860","hsa.miR.521.2."
"1861","hsa.miR.521.2..1"
"1862","hsa.miR.522"
"1863","hsa.miR.522."
"1864","hsa.miR.523.3p"
"1865","hsa.miR.523.5p"
"1866","hsa.miR.524"
"1867","hsa.miR.524."
"1868","hsa.miR.525.3p"
"1869","hsa.miR.525.5p"
"1870","hsa.miR.526a.1.3p"
"1871","hsa.miR.526a.2.3p"
"1872","hsa.miR.526a.5p.2."
"1873","hsa.miR.526b.3p"
"1874","hsa.miR.526b.5p"
"1875","hsa.miR.527.3p"
"1876","hsa.miR.527.5p"
"1877","hsa.miR.532.3p"
"1878","hsa.miR.532.5p"
"1879","hsa.miR.539"
"1880","hsa.miR.539."
"1881","hsa.miR.541.3p"
"1882","hsa.miR.541.5p"
"1883","hsa.miR.542"
"1884","hsa.miR.542."
"1885","hsa.miR.543"
"1886","hsa.miR.543."
"1887","hsa.miR.544.3p"
"1888","hsa.miR.544.5p"
"1889","hsa.miR.545.3p"
"1890","hsa.miR.545.5p"
"1891","hsa.miR.549.3p"
"1892","hsa.miR.549.5p"
"1893","hsa.miR.550.3p.2."
"1894","hsa.miR.550.5p.2."
"1895","hsa.miR.551a"
"1896","hsa.miR.551a."
"1897","hsa.miR.551b"
"1898","hsa.miR.551b."
"1899","hsa.miR.552.3p"
"1900","hsa.miR.552.5p"
"1901","hsa.miR.556.3p"
"1902","hsa.miR.556.5p"
"1903","hsa.miR.559.3p"
"1904","hsa.miR.559.5p"
"1905","hsa.miR.561"
"1906","hsa.miR.561."
"1907","hsa.miR.570.3p"
"1908","hsa.miR.570.5p"
"1909","hsa.miR.574.3p"
"1910","hsa.miR.574.5p"
"1911","hsa.miR.576.3p"
"1912","hsa.miR.576.5p"
"1913","hsa.miR.577"
"1914","hsa.miR.577."
"1915","hsa.miR.579.3p"
"1916","hsa.miR.579.5p"
"1917","hsa.miR.580"
"1918","hsa.miR.580."
"1919","hsa.miR.581"
"1920","hsa.miR.581."
"1921","hsa.miR.582"
"1922","hsa.miR.582."
"1923","hsa.miR.584"
"1924","hsa.miR.584."
"1925","hsa.miR.585"
"1926","hsa.miR.585."
"1927","hsa.miR.588"
"1928","hsa.miR.588."
"1929","hsa.miR.589"
"1930","hsa.miR.589."
"1931","hsa.miR.590.3p"
"1932","hsa.miR.590.5p"
"1933","hsa.miR.592"
"1934","hsa.miR.592."
"1935","hsa.miR.597"
"1936","hsa.miR.597."
"1937","hsa.miR.598"
"1938","hsa.miR.598."
"1939","hsa.miR.599"
"1940","hsa.miR.599."
"1941","hsa.miR.605.3p"
"1942","hsa.miR.605.5p"
"1943","hsa.miR.610"
"1944","hsa.miR.610."
"1945","hsa.miR.615.3p"
"1946","hsa.miR.615.5p"
"1947","hsa.miR.616.3p"
"1948","hsa.miR.616.5p"
"1949","hsa.miR.618"
"1950","hsa.miR.624.3p"
"1951","hsa.miR.624.5p"
"1952","hsa.miR.625.3p"
"1953","hsa.miR.625.5p"
"1954","hsa.miR.627.3p"
"1955","hsa.miR.627.5p"
"1956","hsa.miR.628"
"1957","hsa.miR.628."
"1958","hsa.miR.629"
"1959","hsa.miR.629."
"1960","hsa.miR.641"
"1961","hsa.miR.641."
"1962","hsa.miR.642.3p"
"1963","hsa.miR.642.5p"
"1964","hsa.miR.643"
"1965","hsa.miR.643."
"1966","hsa.miR.651"
"1967","hsa.miR.651."
"1968","hsa.miR.652"
"1969","hsa.miR.652."
"1970","hsa.miR.653.3p"
"1971","hsa.miR.653.5p"
"1972","hsa.miR.654"
"1973","hsa.miR.654."
"1974","hsa.miR.655"
"1975","hsa.miR.655."
"1976","hsa.miR.656"
"1977","hsa.miR.656."
"1978","hsa.miR.659"
"1979","hsa.miR.659."
"1980","hsa.miR.660"
"1981","hsa.miR.660."
"1982","hsa.miR.665"
"1983","hsa.miR.665."
"1984","hsa.miR.668"
"1985","hsa.miR.668."
"1986","hsa.miR.670"
"1987","hsa.miR.670."
"1988","hsa.miR.671"
"1989","hsa.miR.671."
"1990","hsa.miR.675"
"1991","hsa.miR.675."
"1992","hsa.miR.676"
"1993","hsa.miR.676."
"1994","hsa.miR.7.1."
"1995","hsa.miR.7.2."
"1996","hsa.miR.7.3."
"1997","hsa.miR.7.3..1"
"1998","hsa.miR.708"
"1999","hsa.miR.708."
"2000","hsa.miR.744"
"2001","hsa.miR.744."
"2002","hsa.miR.758"
"2003","hsa.miR.758."
"2004","hsa.miR.760"
"2005","hsa.miR.760."
"2006","hsa.miR.766"
"2007","hsa.miR.766."
"2008","hsa.miR.767"
"2009","hsa.miR.767."
"2010","hsa.miR.769"
"2011","hsa.miR.769."
"2012","hsa.miR.770.3p"
"2013","hsa.miR.770.5p"
"2014","hsa.miR.873"
"2015","hsa.miR.873."
"2016","hsa.miR.874"
"2017","hsa.miR.874."
"2018","hsa.miR.875.3p"
"2019","hsa.miR.875.5p"
"2020","hsa.miR.876.3p"
"2021","hsa.miR.876.5p"
"2022","hsa.miR.885"
"2023","hsa.miR.885."
"2024","hsa.miR.887"
"2025","hsa.miR.887."
"2026","hsa.miR.888"
"2027","hsa.miR.888."
"2028","hsa.miR.889"
"2029","hsa.miR.889."
"2030","hsa.miR.890.3p"
"2031","hsa.miR.890.5p"
"2032","hsa.miR.891a"
"2033","hsa.miR.891a."
"2034","hsa.miR.891b"
"2035","hsa.miR.891b."
"2036","hsa.miR.892a"
"2037","hsa.miR.892a."
"2038","hsa.miR.892b"
"2039","hsa.miR.892b."
"2040","hsa.miR.9.3."
"2041","hsa.miR.9..3."
"2042","hsa.miR.92a.1."
"2043","hsa.miR.92a.2."
"2044","hsa.miR.92a.2..1"
"2045","hsa.miR.92b"
"2046","hsa.miR.92b."
"2047","hsa.miR.93"
"2048","hsa.miR.93."
"2049","hsa.miR.934"
"2050","hsa.miR.934."
"2051","hsa.miR.937"
"2052","hsa.miR.937."
"2053","hsa.miR.942"
"2054","hsa.miR.942."
"2055","hsa.miR.944"
"2056","hsa.miR.944."
"2057","hsa.miR.95"
"2058","hsa.miR.95."
"2059","hsa.miR.96"
"2060","hsa.miR.96."
"2061","hsa.miR.98"
"2062","hsa.miR.98."
"2063","hsa.miR.99a"
"2064","hsa.miR.99a."
"2065","hsa.miR.99b"
"2066","hsa.miR.99b."
