"","mirna.names"
"240","hsa.miR.187..1"
"241","hsa.miR.188.1"
"242","hsa.miR.188..1"
"243","hsa.miR.18a.1"
"244","hsa.miR.18a..1"
"245","hsa.miR.18b.1"
"246","hsa.miR.18b..1"
"247","hsa.miR.1908.1"
"248","hsa.miR.1908..1"
"249","hsa.miR.190a.1"
"250","hsa.miR.190a..1"
"251","hsa.miR.190b.1"
"252","hsa.miR.190b..1"
"253","hsa.miR.191.1"
"254","hsa.miR.191..1"
"255","hsa.miR.1910.1"
"256","hsa.miR.1910..1"
"257","hsa.miR.1911.1"
"258","hsa.miR.1911..1"
"259","hsa.miR.1912.3p.1"
"260","hsa.miR.1912.5p.1"
"261","hsa.miR.1914.3p.1"
"262","hsa.miR.1914.5p.1"
"263","hsa.miR.192.1"
"264","hsa.miR.192..1"
"265","hsa.miR.193a.3p.1"
"266","hsa.miR.193a.5p.1"
"267","hsa.miR.193b.1"
"268","hsa.miR.193b..1"
"269","hsa.miR.194.1..1"
"270","hsa.miR.194.2..2"
"271","hsa.miR.194.2..3"
"272","hsa.miR.195.1"
"273","hsa.miR.195..1"
"274","hsa.miR.196a.1..1"
"275","hsa.miR.196a.2..2"
"276","hsa.miR.196a.2..3"
"277","hsa.miR.196b.1"
"278","hsa.miR.196b..1"
"279","hsa.miR.197.1"
"280","hsa.miR.197..1"
"281","hsa.miR.199a.3p.2..1"
"282","hsa.miR.199a.5p.2..1"
"283","hsa.miR.199b.3p.1"
"284","hsa.miR.199b.5p.1"
"285","hsa.miR.19a.1"
"286","hsa.miR.19a..1"
"287","hsa.miR.19b.1..1"
"288","hsa.miR.19b.2..2"
"289","hsa.miR.19b.2..3"
"290","hsa.miR.200a.1"
"291","hsa.miR.200a..1"
"292","hsa.miR.200b.1"
"293","hsa.miR.200b..1"
"294","hsa.miR.200c.1"
"295","hsa.miR.200c..1"
"296","hsa.miR.202.3p.1"
"297","hsa.miR.202.5p.1"
"298","hsa.miR.203.1"
"299","hsa.miR.203..1"
"300","hsa.miR.204.1"
"301","hsa.miR.204..1"
"302","hsa.miR.205.1"
"303","hsa.miR.205..1"
"304","hsa.miR.206.1"
"305","hsa.miR.206..1"
"306","hsa.miR.208a.1"
"307","hsa.miR.208a..1"
"308","hsa.miR.208b.1"
"309","hsa.miR.208b..1"
"310","hsa.miR.20a.1"
"311","hsa.miR.20a..1"
"312","hsa.miR.20b.1"
"313","hsa.miR.20b..1"
"314","hsa.miR.21.1"
"315","hsa.miR.21..1"
"316","hsa.miR.210.1"
"317","hsa.miR.210..1"
"318","hsa.miR.211.1"
"319","hsa.miR.211..1"
"320","hsa.miR.2110.1"
"321","hsa.miR.2110..1"
"322","hsa.miR.2114.1"
"323","hsa.miR.2114..1"
"324","hsa.miR.2115.1"
"325","hsa.miR.2115..1"
"326","hsa.miR.2116.3p.1"
"327","hsa.miR.2116.5p.1"
"328","hsa.miR.212.3p.1"
"329","hsa.miR.212.5p.1"
"330","hsa.miR.214.3p.1"
"331","hsa.miR.214.5p.1"
"332","hsa.miR.215.1"
"333","hsa.miR.215..1"
"334","hsa.miR.216a.1"
"335","hsa.miR.216a..1"
"336","hsa.miR.216b.1"
"337","hsa.miR.216b..1"
"338","hsa.miR.217.1"
"339","hsa.miR.217..1"
"340","hsa.miR.218.1..1"
"341","hsa.miR.218.2..2"
"342","hsa.miR.218.2..3"
"343","hsa.miR.219.1.3p.1"
"344","hsa.miR.219.2.3p.1"
"345","hsa.miR.219.5p.2..1"
"346","hsa.miR.22.1"
"347","hsa.miR.22..1"
"348","hsa.miR.221.1"
"349","hsa.miR.221..1"
"350","hsa.miR.222.1"
"351","hsa.miR.222..1"
"352","hsa.miR.223.1"
"353","hsa.miR.223..1"
"354","hsa.miR.224.1"
"355","hsa.miR.224..1"
"356","hsa.miR.2276.3p.1"
"357","hsa.miR.2276.5p.1"
"358","hsa.miR.2277.1"
"359","hsa.miR.2277..1"
"360","hsa.miR.2278.1"
"361","hsa.miR.2278..1"
"362","hsa.miR.2355.3p.1"
"363","hsa.miR.2355.5p.1"
"364","hsa.miR.23a.1"
"365","hsa.miR.23a..1"
"366","hsa.miR.23b.1"
"367","hsa.miR.23b..1"
"368","hsa.miR.24.1..1"
"369","hsa.miR.24.2..2"
"370","hsa.miR.24.2..3"
"371","hsa.miR.25.1"
"372","hsa.miR.25..1"
"373","hsa.miR.26a.1..1"
"374","hsa.miR.26a.2..2"
"375","hsa.miR.26a.2..3"
"376","hsa.miR.26b.1"
"377","hsa.miR.26b..1"
"378","hsa.miR.27a.1"
"379","hsa.miR.27a..1"
"380","hsa.miR.27b.1"
"381","hsa.miR.27b..1"
"382","hsa.miR.28.3p.1"
"383","hsa.miR.28.5p.1"
"384","hsa.miR.296.3p.1"
"385","hsa.miR.296.5p.1"
"386","hsa.miR.299.3p.1"
"387","hsa.miR.299.5p.1"
"388","hsa.miR.29a.1"
"389","hsa.miR.29a..1"
"390","hsa.miR.29b.1..1"
"391","hsa.miR.29b.2..2"
"392","hsa.miR.29b.2..3"
"393","hsa.miR.29c.1"
"394","hsa.miR.29c..1"
"395","hsa.miR.301a.1"
"396","hsa.miR.301a..1"
"397","hsa.miR.301b.1"
"398","hsa.miR.301b..1"
"399","hsa.miR.302a.3p.1"
"400","hsa.miR.302a.5p.1"
"401","hsa.miR.302b.1"
"402","hsa.miR.302b..1"
"403","hsa.miR.302c.1"
"404","hsa.miR.302c..1"
"405","hsa.miR.302d.1"
"406","hsa.miR.302d..1"
"407","hsa.miR.3065.3p.1"
"408","hsa.miR.3065.5p.1"
"409","hsa.miR.3074.3p.1"
"410","hsa.miR.3074.5p.1"
"411","hsa.miR.30a.1"
"412","hsa.miR.30a..1"
"413","hsa.miR.30b.1"
"414","hsa.miR.30b..1"
"415","hsa.miR.30c.1..1"
"416","hsa.miR.30c.2..2"
"417","hsa.miR.30c.2..3"
"418","hsa.miR.30d.1"
"419","hsa.miR.30d..1"
"420","hsa.miR.30e.1"
"421","hsa.miR.30e..1"
"422","hsa.miR.31.3p.1"
"423","hsa.miR.31.5p.1"
"424","hsa.miR.3115.1"
"425","hsa.miR.3115..1"
"426","hsa.miR.3117.1"
"427","hsa.miR.3117..1"
"428","hsa.miR.3120.1"
"429","hsa.miR.3120..1"
"430","hsa.miR.3124.1"
"431","hsa.miR.3124..1"
"432","hsa.miR.3126.3p.1"
"433","hsa.miR.3126.5p.1"
"434","hsa.miR.3127.3p.1"
"435","hsa.miR.3127.5p.1"
"436","hsa.miR.3129.3p.1"
"437","hsa.miR.3129.5p.1"
"438","hsa.miR.3130.3p.1"
"439","hsa.miR.3130.5p.1"
"440","hsa.miR.3136.1"
"441","hsa.miR.3136..1"
"442","hsa.miR.3138.3p.1"
"443","hsa.miR.3138.5p.1"
"444","hsa.miR.3139.1"
"445","hsa.miR.3139..1"
"446","hsa.miR.3140.3p.1"
"447","hsa.miR.3140.5p.1"
"448","hsa.miR.3143.3p.1"
"449","hsa.miR.3143.5p.1"
"450","hsa.miR.3144.1"
"451","hsa.miR.3144..1"
"452","hsa.miR.3145.3p.1"
"453","hsa.miR.3145.5p.1"
"454","hsa.miR.3146.3p.1"
"455","hsa.miR.3146.5p.1"
"456","hsa.miR.3149.1"
"457","hsa.miR.3149..1"
"458","hsa.miR.3150.3p.1"
"459","hsa.miR.3150.5p.1"
"460","hsa.miR.3151.1"
"461","hsa.miR.3151..1"
"462","hsa.miR.3152.1"
"463","hsa.miR.3152..1"
"464","hsa.miR.3155.3p.1"
"465","hsa.miR.3155.5p.1"
"466","hsa.miR.3157.3p.1"
"467","hsa.miR.3157.5p.1"
"468","hsa.miR.3158.1"
"469","hsa.miR.3158..1"
"470","hsa.miR.3170.1"
"471","hsa.miR.3170..1"
"472","hsa.miR.3171.3p.1"
"473","hsa.miR.3171.5p.1"
"474","hsa.miR.3173.1"
"475","hsa.miR.3173..1"
"476","hsa.miR.3174.1"
"477","hsa.miR.3174..1"
"478","hsa.miR.3175.1"
"479","hsa.miR.3175..1"
"480","hsa.miR.3176.1"
"481","hsa.miR.3176..1"
"482","hsa.miR.3177.1"
"483","hsa.miR.3177..1"
"484","hsa.miR.3183.1"
"485","hsa.miR.3183..1"
